35616,117,222222,2020-12-31 22:11:17,2020-12-31 22:50:05,2020-12-31 22:52:16,retail,38.800000,2.183333
35615,117,222213,2020-12-31 22:05:19,2020-12-31 22:12:10,2020-12-31 22:12:12,retail,6.850000,0.033333
35614,117,222211,2020-12-31 22:03:45,2020-12-31 22:12:08,2020-12-31 22:12:10,retail,8.383333,0.033333
35613,117,222210,2020-12-31 22:03:21,2020-12-31 22:08:24,2020-12-31 22:10:20,retail,5.050000,1.933333
35612,117,222193,2020-12-31 21:55:12,2020-12-31 22:06:36,2020-12-31 22:08:23,retail,11.400000,1.783333
35611,117,222183,2020-12-31 21:48:05,2020-12-31 22:49:12,2020-12-31 22:49:43,retail,61.116667,0.516667
35610,117,222182,2020-12-31 21:43:11,2020-12-31 22:06:11,2020-12-31 22:06:35,retail,23.000000,0.400000
35609,117,222177,2020-12-31 21:37:51,2020-12-31 22:05:27,2020-12-31 22:06:09,retail,27.600000,0.700000
35608,117,222164,2020-12-31 21:33:49,2020-12-31 22:47:25,2020-12-31 22:49:11,retail,73.600000,1.766667
35607,117,222161,2020-12-31 21:33:07,2020-12-31 22:46:43,2020-12-31 22:47:25,retail,73.600000,0.700000
35606,117,222144,2020-12-31 21:28:08,2020-12-31 22:04:18,2020-12-31 22:05:23,retail,36.166667,1.083333
35605,117,222136,2020-12-31 21:26:37,2020-12-31 22:03:03,2020-12-31 22:04:16,retail,36.433333,1.216667
35604,117,222130,2020-12-31 21:24:28,2020-12-31 22:02:52,2020-12-31 22:03:02,retail,38.400000,0.166667
35603,117,222128,2020-12-31 21:23:59,2020-12-31 22:02:51,2020-12-31 22:02:52,retail,38.866667,0.016667
35602,117,222117,2020-12-31 21:20:55,2020-12-31 21:59:46,2020-12-31 22:02:50,retail,38.850000,3.066667
35601,117,222112,2020-12-31 21:19:19,2020-12-31 21:59:01,2020-12-31 21:59:46,retail,39.700000,0.750000
35600,117,222110,2020-12-31 21:16:28,2020-12-31 21:57:54,2020-12-31 21:58:59,retail,41.433333,1.083333
35599,117,222107,2020-12-31 21:13:45,2020-12-31 21:35:34,2020-12-31 21:55:29,retail,21.816667,19.916667
35598,117,222106,2020-12-31 21:11:58,2020-12-31 21:34:06,2020-12-31 21:35:29,retail,22.133333,1.383333
35597,117,222105,2020-12-31 21:10:48,2020-12-31 21:33:20,2020-12-31 21:34:05,retail,22.533333,0.750000
35596,117,222104,2020-12-31 21:10:33,2020-12-31 21:32:28,2020-12-31 21:33:19,retail,21.916667,0.850000
35595,117,222103,2020-12-31 21:09:38,2020-12-31 21:32:02,2020-12-31 21:32:27,retail,22.400000,0.416667
35594,117,222101,2020-12-31 21:08:29,2020-12-31 21:31:43,2020-12-31 21:32:01,retail,23.233333,0.300000
35593,117,222100,2020-12-31 21:06:32,2020-12-31 21:30:13,2020-12-31 21:31:42,retail,23.683333,1.483333
35592,117,222099,2020-12-31 21:03:59,2020-12-31 21:29:17,2020-12-31 21:30:12,retail,25.300000,0.916667
35591,117,222098,2020-12-31 21:01:26,2020-12-31 21:28:10,2020-12-31 21:29:16,retail,26.733333,1.100000
35590,117,222096,2020-12-31 20:59:34,2020-12-31 21:27:30,2020-12-31 21:28:09,retail,27.933333,0.650000
35589,117,222095,2020-12-31 20:58:10,2020-12-31 21:26:41,2020-12-31 21:27:29,retail,28.516667,0.800000
35588,117,222090,2020-12-31 20:52:32,2020-12-31 21:24:13,2020-12-31 21:25:52,retail,31.683333,1.650000
35587,117,222089,2020-12-31 20:51:24,2020-12-31 21:23:24,2020-12-31 21:24:12,retail,32.000000,0.800000
35586,117,222085,2020-12-31 20:49:18,2020-12-31 21:22:31,2020-12-31 21:23:22,retail,33.216667,0.850000
35585,117,222081,2020-12-31 20:47:48,2020-12-31 21:22:30,2020-12-31 21:22:31,retail,34.700000,0.016667
35584,117,222080,2020-12-31 20:46:23,2020-12-31 21:18:36,2020-12-31 21:22:29,retail,32.216667,3.883333
35583,117,222078,2020-12-31 20:44:20,2020-12-31 20:52:06,2020-12-31 20:56:16,retail,7.766667,4.166667
35582,117,222076,2020-12-31 20:42:16,2020-12-31 20:46:28,2020-12-31 20:50:18,retail,4.200000,3.833333
35581,117,222074,2020-12-31 20:41:04,2020-12-31 20:45:38,2020-12-31 20:46:27,retail,4.566667,0.816667
35580,117,222073,2020-12-31 20:39:24,2020-12-31 20:43:32,2020-12-31 20:45:05,retail,4.133333,1.550000
35579,117,222071,2020-12-31 20:35:15,2020-12-31 20:42:30,2020-12-31 20:43:31,retail,7.250000,1.016667
35578,117,222070,2020-12-31 20:33:05,2020-12-31 20:39:31,2020-12-31 20:42:29,retail,6.433333,2.966667
35577,117,222069,2020-12-31 20:32:09,2020-12-31 20:38:23,2020-12-31 20:39:30,retail,6.233333,1.116667
